State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
34,1,Atlantic,NJ,New Jersey,p126,PJM_East
20,157,Republic,KS,Kansas,p53,SPP_South
51,119,Middlesex,VA,Virginia,p99,PJM_East
6,87,Santa Cruz,CA,California,p9,CAISO
21,15,Boone,KY,Kentucky,p109,PJM_East
56,23,Lincoln,WY,Wyoming,p21,NorthernGrid_East
48,29,Bexar,TX,Texas,p65,ERCOT
47,161,Stewart,TN,Tennessee,p92,SERTP
31,129,Nuckolls,NE,Nebraska,p40,SPP_North
20,131,Nemaha,KS,Kansas,p53,SPP_South
35,19,Guadalupe,NM,New Mexico,p31,WestConnect_South
48,37,Bowie,TX,Texas,p57,SPP_South
54,97,Upshur,WV,West Virginia,p116,PJM_East
5,85,Lonoke,AR,Arkansas,p85,MISO_South
28,139,Tippah,MS,Mississippi,p88,SERTP
48,219,Hockley,TX,Texas,p48,SPP_South
18,25,Crawford,IN,Indiana,p107,MISO_Central
50,17,Orange,VT,Vermont,p129,ISONE
17,137,Morgan,IL,Illinois,p81,MISO_Central
16,61,Lewis,ID,Idaho,p14,NorthernGrid_East
45,21,Cherokee,SC,South Carolina,p95,SERTP
48,15,Austin,TX,Texas,p64,ERCOT
18,35,Delaware,IN,Indiana,p105,MISO_Central
48,431,Sterling,TX,Texas,p61,ERCOT
21,29,Bullitt,KY,Kentucky,p109,PJM_East
16,9,Benewah,ID,Idaho,p14,NorthernGrid_East
31,79,Hall,NE,Nebraska,p40,SPP_North
51,800,Suffolk,VA,Virginia,p99,PJM_East
47,97,Lauderdale,TN,Tennessee,p92,SERTP
8,89,Otero,CO,Colorado,p34,WestConnect_North
31,161,Sheridan,NE,Nebraska,p39,SPP_North
51,103,Lancaster,VA,Virginia,p99,PJM_East
19,127,Marshall,IA,Iowa,p70,MISO_North
21,115,Johnson,KY,Kentucky,p109,PJM_East
18,117,Orange,IN,Indiana,p107,MISO_Central
47,129,Morgan,TN,Tennessee,p92,SERTP
5,101,Newton,AR,Arkansas,p56,SPP_South
18,179,Wells,IN,Indiana,p105,MISO_Central
35,1,Bernalillo,NM,New Mexico,p31,WestConnect_South
31,107,Knox,NE,Nebraska,p40,SPP_North
28,69,Kemper,MS,Mississippi,p88,SERTP
37,175,Transylvania,NC,North Carolina,p97,SERTP
51,740,Portsmouth,VA,Virginia,p99,PJM_East
54,79,Putnam,WV,West Virginia,p117,PJM_East
6,113,Yolo,CA,California,p9,CAISO
22,45,Iberia,LA,Louisiana,p58,MISO_South
34,19,Hunterdon,NJ,New Jersey,p126,PJM_East
8,21,Conejos,CO,Colorado,p34,WestConnect_North
48,115,Dawson,TX,Texas,p60,ERCOT
37,99,Jackson,NC,North Carolina,p97,SERTP
1,81,Lee,AL,Alabama,p90,SERTP
50,13,Grand Isle,VT,Vermont,p129,ISONE
54,107,Wood,WV,West Virginia,p116,PJM_East
30,79,Prairie,MT,Montana,p35,SPP_North
39,87,Lawrence,OH,Ohio,p112,PJM_East
20,55,Finney,KS,Kansas,p52,SPP_South
20,103,Leavenworth,KS,Kansas,p53,SPP_South
35,28,Los Alamos,NM,New Mexico,p31,WestConnect_South
5,1,Arkansas,AR,Arkansas,p85,MISO_South
8,33,Dolores,CO,Colorado,p34,WestConnect_North
19,77,Guthrie,IA,Iowa,p70,MISO_North
30,107,Wheatland,MT,Montana,p20,NorthernGrid_East
37,159,Rowan,NC,North Carolina,p97,SERTP
45,47,Greenwood,SC,South Carolina,p95,SERTP
18,93,Lawrence,IN,Indiana,p107,MISO_Central
23,19,Penobscot,ME,Maine,p134,ISONE
48,415,Scurry,TX,Texas,p60,ERCOT
48,283,La Salle,TX,Texas,p65,ERCOT
42,83,McKean,PA,Pennsylvania,p122,PJM_East
51,131,Northampton,VA,Virginia,p124,PJM_East
30,97,Sweet Grass,MT,Montana,p18,NorthernGrid_East
20,119,Meade,KS,Kansas,p53,SPP_South
51,157,Rappahannock,VA,Virginia,p100,PJM_East
